#,Name,Total 1's,Total 2's,Total 3's,Total Votes,Weighted Total
317,Swalot,1,1,1,3,6
318,Carvanha,0,0,0,0,0
319,Sharpedo,1,3,1,5,10
320,Wailmer,0,2,1,3,5
321,Wailord,4,3,3,10,21
322,Numel,1,0,0,1,3
323,Camerupt,9,0,3,12,30
324,Torkoal,1,6,2,9,17
325,Spoink,3,0,1,4,10
326,Grumpig,1,0,1,2,4
327,Spinda,4,2,1,7,17
328,Trapinch,1,3,0,4,9
329,Vibrava,0,0,0,0,0
330,Flygon,33,29,41,103,198
331,Cacnea,1,0,1,2,4
332,Cacturne,2,1,0,3,8
333,Swablu,1,3,0,4,9
334,Altaria,13,10,10,33,69
335,Zangoose,7,5,5,17,36
336,Seviper,2,1,2,5,10
337,Lunatone,1,0,0,1,3
338,Solrock,0,0,0,0,0
339,Barboach,0,0,0,0,0
340,Whiscash,1,2,1,4,8
341,Corphish,0,1,1,2,3
342,Crawdaunt,0,0,2,2,2
343,Baltoy,0,0,0,0,0
344,Claydol,1,0,2,3,5
345,Lileep,1,0,1,2,4
346,Cradily,4,2,6,12,22
347,Anorith,2,0,1,3,7
348,Armaldo,0,1,1,2,3
349,Feebas,0,0,0,0,0
350,Milotic,15,17,14,46,93
351,Castform,3,3,5,11,20
352,Kecleon,2,1,1,4,9
353,Shuppet,0,0,0,0,0
354,Banette,12,7,9,28,59
355,Duskull,1,0,1,2,4
356,Dusclops,2,3,0,5,12
357,Tropius,5,4,2,11,25
358,Chimecho,2,2,2,6,12
359,Absol,40,22,21,83,185
360,Wynaut,0,1,1,2,3
361,Snorunt,2,2,1,5,11
362,Glalie,3,4,4,11,21
363,Spheal,11,3,8,22,47
364,Sealeo,1,0,0,1,3
365,Walrein,0,3,2,5,8
366,Clamperl,0,0,0,0,0
367,Huntail,0,0,0,0,0
368,Gorebyss,0,0,0,0,0
369,Relicanth,0,3,4,7,10
370,Luvdisc,0,0,0,0,0
371,Bagon,0,1,0,1,2
372,Shelgon,0,1,0,1,2
373,Salamence,12,17,15,44,85
374,Beldum,0,1,1,2,3
375,Metang,0,1,0,1,2
376,Metagross,27,39,29,95,188
377,Regirock,1,3,2,6,11
378,Regice,1,0,2,3,5
379,Registeel,1,0,2,3,5
380,Latias,8,10,10,28,54
381,Latios,6,6,4,16,34
382,Kyogre,6,12,4,22,46
383,Groudon,4,4,6,14,26
384,Rayquaza,18,36,25,79,151
385,Jirachi,11,5,12,28,55
386,Deoxys,7,11,6,24,49
387,Turtwig,8,7,5,20,43
388,Grotle,0,0,0,0,0
389,Torterra,23,20,20,63,129
390,Chimchar,2,1,1,4,9
391,Monferno,0,1,1,2,3
392,Infernape,24,23,19,66,137
393,Piplup,14,5,8,27,60
394,Prinplup,0,0,0,0,0
395,Empoleon,12,17,9,38,79
396,Starly,0,0,1,1,1
397,Staravia,0,0,0,0,0
398,Staraptor,3,3,8,14,23
399,Bidoof,2,4,5,11,19
400,Bibarel,1,0,0,1,3
401,Kricketot,0,0,0,0,0
402,Kricketune,1,0,1,2,4
403,Shinx,6,6,1,13,31
404,Luxio,1,2,0,3,7
405,Luxray,13,16,19,48,90
406,Budew,0,0,0,0,0
407,Roserade,5,10,8,23,43
408,Cranidos,0,0,1,1,1
409,Rampardos,0,1,2,3,4
410,Shieldon,1,1,0,2,5
411,Bastiodon,2,1,2,5,10
412,Burmy,0,0,0,0,0
413,Wormadam,0,0,0,0,0
414,Mothim,0,0,0,0,0
415,Combee,0,0,0,0,0
416,Vespiquen,0,0,2,2,2
417,Pachirisu,4,7,2,13,28
418,Buizel,5,0,3,8,18
419,Floatzel,6,1,2,9,22
420,Cherubi,1,0,1,2,4
421,Cherrim,1,0,0,1,3
422,Shellos,1,2,3,6,10
423,Gastrodon,4,6,6,16,30
424,Ambipom,3,0,1,4,10
425,Drifloon,3,3,1,7,16
426,Drifblim,0,2,5,7,9
427,Buneary,1,1,0,2,5
428,Lopunny,5,3,5,13,26
429,Mismagius,9,6,10,25,49
430,Honchkrow,3,6,2,11,23
431,Glameow,0,0,0,0,0
432,Purugly,0,1,1,2,3
433,Chingling,2,1,0,3,8
434,Stunky,1,0,0,1,3
435,Skuntank,1,3,0,4,9
436,Bronzor,0,0,0,0,0
437,Bronzong,0,1,2,3,4
438,Bonsly,0,0,0,0,0
439,Mime Jr.,0,0,3,3,3
440,Happiny,0,0,0,0,0
441,Chatot,1,2,2,5,9
442,Spiritomb,1,4,5,10,16
443,Gible,3,3,0,6,15
444,Gabite,0,0,0,0,0
445,Garchomp,33,37,31,101,204
446,Munchlax,2,2,2,6,12
447,Riolu,3,5,2,10,21
448,Lucario,30,39,32,101,200
449,Hippopotas,0,0,0,0,0
450,Hippowdon,2,2,3,7,13
451,Skorupi,1,1,1,3,6
452,Drapion,3,10,5,18,34
453,Croagunk,5,3,1,9,22
454,Toxicroak,4,7,6,17,32
455,Carnivine,2,1,1,4,9
456,Finneon,0,0,1,1,1
457,Lumineon,0,0,2,2,2
458,Mantyke,0,0,0,0,0
459,Snover,0,0,0,0,0
460,Abomasnow,1,2,2,5,9
461,Weavile,16,15,9,40,87
462,Magnezone,5,7,7,19,36
463,Lickilicky,0,1,1,2,3
464,Rhyperior,0,1,3,4,5
465,Tangrowth,3,3,0,6,15
466,Electivire,4,3,8,15,26
467,Magmortar,0,1,2,3,4
468,Togekiss,12,13,11,36,73
469,Yanmega,6,4,3,13,29
470,Leafeon,13,9,9,31,66
471,Glaceon,13,13,9,35,74
472,Gliscor,22,19,11,52,115
473,Mamoswine,4,9,8,21,38
474,Porygon-Z,10,10,7,27,57
475,Gallade,25,19,18,62,131
476,Probopass,1,0,3,4,6
477,Dusknoir,5,6,3,14,30
478,Froslass,5,9,9,23,42
479,Rotom,1,3,4,8,13
480,Uxie,0,0,1,1,1
481,Mespirit,0,0,2,2,2
482,Azelf,0,0,0,0,0
483,Dialga,3,7,5,15,28
484,Palkia,0,3,4,7,10
485,Heatran,3,0,1,4,10
486,Regigigas,1,3,5,9,14
487,Giratina,17,24,19,60,118
488,Cresselia,1,0,1,2,4
489,Phione,0,0,0,0,0
490,Manaphy,2,3,2,7,14
491,Darkrai,5,13,17,35,58
492,Shaymin,4,7,9,20,35
493,Arceus,2,3,3,8,15
494,Victini,9,8,10,27,53
495,Snivy,10,5,5,20,45
496,Servine,0,0,1,1,1
497,Serperior,16,8,14,38,78
498,Tepig,6,0,2,8,20
499,Pignite,0,0,0,0,0
500,Emboar,7,4,3,14,32
501,Oshawott,6,7,11,24,43
502,Dewott,3,3,3,9,18
503,Samurott,7,10,3,20,44
504,Patrat,0,0,0,0,0
505,Watchog,0,0,0,0,0
506,Lillipup,0,0,1,1,1
507,Herdier,0,1,1,2,3
508,Stoutland,2,1,1,4,9
509,Purrloin,0,0,1,1,1
510,Liepard,0,2,1,3,5
511,Pansage,0,1,0,1,2
512,Simisage,0,1,0,1,2
513,Pansear,1,0,1,2,4
514,Simisear,0,3,0,3,6
515,Panpour,0,1,0,1,2
516,Simipour,0,0,1,1,1
517,Munna,0,0,1,1,1
518,Musharna,1,1,1,3,6
519,Pidove,1,0,0,1,3
520,Tranquill,0,0,0,0,0
521,Unfezant,0,0,0,0,0
522,Blitzle,0,1,0,1,2
523,Zebstrika,3,1,2,6,13
524,Roggenrola,0,0,1,1,1
525,Boldore,0,1,0,1,2
526,Gigalith,0,2,2,4,6
527,Woobat,0,0,0,0,0
528,Swoobat,2,1,0,3,8
529,Drilbur,0,0,0,0,0
530,Excadrill,5,5,6,16,31
531,Audino,3,4,1,8,18
532,Timburr,0,0,0,0,0
533,Gurdurr,0,0,0,0,0
534,Conkeldurr,2,4,1,7,15
535,Tympole,0,0,0,0,0
536,Palpitoad,1,1,0,2,5
537,Seismitoad,0,1,1,2,3
538,Throh,1,0,0,1,3
539,Sawk,1,0,0,1,3
540,Sewaddle,1,4,1,6,12
541,Swadloon,1,3,4,8,13
542,Leavanny,4,3,4,11,22
543,Venipede,0,1,0,1,2
544,Whirlipede,0,1,1,2,3
545,Scolipede,9,11,7,27,56
546,Cottonee,0,1,0,1,2
547,Whimsicott,14,7,9,30,65
548,Petilil,1,0,0,1,3
549,Lilligant,8,5,13,26,47
550,Basculin,0,2,0,2,4
551,Sandile,1,1,1,3,6
552,Krokorok,0,0,2,2,2
553,Krookodile,12,14,12,38,76
554,Darumaka,0,0,0,0,0
555,Darmanitan,2,0,3,5,9
556,Maractus,1,5,2,8,15
557,Dwebble,2,2,2,6,12
558,Crustle,2,3,3,8,15
559,Scraggy,3,2,0,5,13
560,Scrafty,3,2,4,9,17
561,Sigilyph,4,2,5,11,21
562,Yamask,0,0,2,2,2
563,Cofagrigus,1,5,3,9,16
564,Tirtouga,0,0,0,0,0
565,Carracosta,0,1,0,1,2
566,Archen,1,1,1,3,6
567,Archeops,7,6,2,15,35
568,Trubbish,1,4,3,8,14
569,Garbodor,1,0,1,2,4
570,Zorua,8,6,3,17,39
571,Zoroark,11,15,17,43,80
572,Minccino,0,1,1,2,3
573,Cinccino,7,2,2,11,27
574,Gothita,0,1,1,2,3
575,Gothorita,1,1,0,2,5
576,Gothitelle,1,2,1,4,8
577,Solosis,1,1,0,2,5
578,Duosion,0,0,0,0,0
579,Reuniclus,11,8,12,31,61
580,Ducklett,2,0,2,4,8
581,Swanna,0,1,0,1,2
582,Vanillite,1,0,0,1,3
583,Vanillish,0,1,0,1,2
584,Vanilluxe,1,1,0,2,5
585,Deerling,0,0,0,0,0
586,Sawsbuck,1,2,3,6,10
587,Emolga,3,2,3,8,16
588,Karrablast,0,0,0,0,0
589,Escavalier,1,1,4,6,9
590,Foongus,1,0,1,2,4
591,Amoonguss,0,0,1,1,1
592,Frillish,1,0,1,2,4
593,Jellicent,1,2,2,5,9
594,Alolomola,1,0,2,3,5
595,Joltik,11,7,8,26,55
596,Galvantula,6,8,3,17,37
597,Ferroseed,1,0,0,1,3
598,Ferrothorn,2,2,5,9,15
599,Klink,1,2,0,3,7
600,Klang,0,1,0,1,2
601,Klinklang,3,0,3,6,12
602,Tynamo,0,0,0,0,0
603,Eelektrik,0,0,0,0,0
604,Eelektross,6,5,8,19,36
605,Elgyem,1,3,0,4,9
606,Beheeyem,1,0,3,4,6
607,Litwick,2,5,4,11,20
608,Lampent,1,2,2,5,9
609,Chandelure,18,24,25,67,127
610,Axew,0,2,0,2,4
611,Fraxure,0,0,1,1,1
612,Haxorus,10,6,14,30,56
613,Cubchoo,0,0,1,1,1
614,Beartic,4,0,0,4,12
615,Cryogonal,1,2,1,4,8
616,Shelmet,0,0,0,0,0
617,Accelgor,0,1,3,4,5
618,Stunfisk,0,2,4,6,8
619,Mienfoo,1,0,1,2,4
620,Mienshao,1,1,6,8,11
621,Druddigon,1,1,0,2,5
622,Golett,0,1,1,2,3
623,Golurk,7,11,8,26,51
624,Pawniard,0,0,1,1,1
625,Bisharp,11,9,4,24,55
626,Bouffalant,0,0,0,0,0
627,Rufflet,0,0,0,0,0
628,Braviary,2,3,3,8,15
629,Vullaby,0,0,0,0,0
630,Mandibuzz,0,1,0,1,2
631,Heatmor,0,0,0,0,0
632,Durant,0,0,0,0,0
633,Deino,1,4,1,6,12
634,Zweilous,0,0,0,0,0
635,Hydreigon,10,15,22,47,82
636,Larvesta,3,0,0,3,9
637,Volcarona,32,30,37,99,193
638,Cobalion,0,2,1,3,5
639,Terrakion,1,0,0,1,3
640,Virizion,0,2,0,2,4
641,Tornadus,0,0,0,0,0
642,Thundurus,0,0,0,0,0
643,Reshiram,7,3,5,15,32
644,Zekrom,2,5,9,16,25
645,Landorus,2,0,2,4,8
646,Kyurem,2,4,4,10,18
647,Keldeo,0,0,2,2,2
648,Meloetta,4,5,7,16,29
649,Genesect,1,0,3,4,6
650,Chespin,3,1,3,7,14
651,Quilladin,2,1,1,4,9
652,Chesnaught,4,2,3,9,19
653,Fennekin,2,4,4,10,18
654,Braixen,4,5,7,16,29
655,Delphox,5,8,10,23,41
656,Froakie,1,1,0,2,5
657,Frogadier,0,0,1,1,1
658,Greninja,15,21,22,58,109
659,Bunnelby,0,0,0,0,0
660,Diggersby,0,0,0,0,0
661,Fletchling,0,2,0,2,4
662,Fletchinder,1,0,2,3,5
663,Talonflame,4,5,7,16,29
664,Scatterbug,0,0,0,0,0
665,Spewpa,0,1,0,1,2
666,Vivillon,1,2,2,5,9
667,Litleo,2,1,0,3,8
668,Pyroar,0,0,1,1,1
669,Flabébé,0,0,0,0,0
670,Floette,2,2,1,5,11
671,Florges,0,0,0,0,0
672,Skiddo,1,0,1,2,4
673,Gogoat,1,2,1,4,8
674,Pancham,1,0,2,3,5
675,Pangoro,2,0,1,3,7
676,Furfrou,1,0,4,5,7
677,Espurr,4,2,2,8,18
678,Meowstic,5,5,3,13,28
679,Honedge,0,2,0,2,4
680,Doublade,0,0,2,2,2
681,Aegislash,11,9,11,31,62
682,Spritzee,1,0,0,1,3
683,Aromatisse,2,0,1,3,7
684,Swirlix,0,0,1,1,1
685,Slurpuff,1,2,2,5,9
686,Inkay,0,0,1,1,1
687,Malamar,2,3,4,9,16
688,Binacle,0,0,0,0,0
689,Barbaracle,0,0,1,1,1
690,Skrelp,1,0,1,2,4
691,Dragalge,3,3,3,9,18
692,Clauncher,1,2,1,4,8
693,Clawitzer,1,3,1,5,10
694,Helioptile,2,0,0,2,6
695,Heliolisk,3,1,2,6,13
696,Tyrunt,0,1,2,3,4
697,Tyrantrum,3,12,9,24,42
698,Amaura,0,1,0,1,2
699,Aurorus,5,3,5,13,26
700,Sylveon,27,36,24,87,177
701,Hawlucha,2,3,3,8,15
702,Dedenne,5,1,3,9,20
703,Carbink,0,3,2,5,8
704,Goomy,4,6,2,12,26
705,Sliggoo,0,2,0,2,4
706,Goodra,9,8,9,26,52
707,Klefki,1,1,4,6,9
708,Phantump,5,1,4,10,21
709,Trevenant,4,8,7,19,35
710,Pumpkaboo,2,6,4,12,22
711,Gourgeist,1,1,1,3,6
712,Bergmite,1,0,1,2,4
713,Avalugg,2,1,1,4,9
714,Noibat,2,1,3,6,11
715,Noivern,12,12,10,34,70
716,Xerneas,3,7,3,13,26
717,Yveltal,2,3,6,11,18
718,Zygarde,0,6,3,9,15
719,Diancie,1,5,4,10,17
720,Hoopa,0,3,1,4,7
721,Volcanion,0,0,0,0,0
722,Rowlet,12,11,18,41,76
723,Dartrix,0,1,0,1,2
724,Decidueye,13,21,29,63,110
725,Litten,2,0,5,7,11
726,Torracat,0,3,2,5,8
727,Incineroar,4,8,5,17,33
728,Popplio,4,2,2,8,18
729,Brionne,0,0,1,1,1
730,Primarina,4,13,10,27,48
731,Pikipek,0,0,0,0,0
732,Trumbeak,0,0,0,0,0
733,Toucannon,0,1,2,3,4
734,Yungoos,0,0,1,1,1
735,Gumshoos,0,0,0,0,0
736,Grubbin,0,0,1,1,1
737,Charjabug,2,1,2,5,10
738,Vikavolt,3,0,2,5,11
739,Crabrawler,0,1,0,1,2
740,Crabominable,0,0,0,0,0
741,Oricorio,1,2,2,5,9
742,Cutiefly,1,0,2,3,5
743,Ribombee,5,3,4,12,25
744,Rockruff,2,3,2,7,14
745,Lycanroc,1,6,10,17,25
746,Wishiwashi,0,1,2,3,4
747,Mareanie,3,0,0,3,9
748,Toxapex,4,3,4,11,22
749,Mudbray,0,0,0,0,0
750,Mudsdale,0,5,4,9,14
751,Dewpider,0,1,0,1,2
752,Araquanid,4,0,0,4,12
753,Fomantis,0,0,1,1,1
754,Lurantis,4,6,9,19,33
755,Morelull,0,0,1,1,1
756,Shiinotic,1,0,2,3,5
757,Salandit,1,3,0,4,9
758,Salazzle,2,4,3,9,17
759,Stufful,3,0,0,3,9
760,Bewear,2,2,7,11,17
761,Bounsweet,0,0,0,0,0
762,Steenee,0,0,1,1,1
763,Tsareena,2,2,4,8,14
764,Comfey,0,1,1,2,3
765,Oranguru,0,0,0,0,0
766,Passimian,0,0,0,0,0
767,Wimpod,1,1,0,2,5
768,Golisopod,3,11,6,20,37
769,Sandygast,1,0,1,2,4
770,Palossand,0,5,4,9,14
771,Pyukumuku,4,3,4,11,22
772,Type: Null,1,2,0,3,7
773,Silvally,2,5,6,13,22
774,Minior,6,5,3,14,31
775,Komala,2,0,0,2,6
776,Turtonator,0,1,2,3,4
777,Togedemaru,1,1,2,4,7
778,MImikyu,29,32,31,92,182
779,Bruxish,0,0,1,1,1
780,Drampa,0,2,2,4,6
781,Dhelmise,1,7,3,11,20
782,Jangmo-o,0,0,1,1,1
783,Hakamo-o,0,0,0,0,0
784,Kommo-o,2,2,3,7,13
785,Tapu Koko,1,2,0,3,7
